"Reference Designator","Number","Name","Quantity","Version"
"","1600096705A","ABXS003A3X341-SRZ","","3.3 (Design)"
"RT1","1962122-2","THERMISTOR, CHIP, PTC, OVERHEAT SENSING   BMP","1","1.12 (Design)"
"R9","408566780","RESISTOR THICK FILM 0402","1","1.10 (Design)"
"R8","3-1655696-1","RESISTOR 16.9K +1/-1% 0.063W T","1","1.9 (Design)"
"R7","CC408578941","RES 9.31K +1/-1% 0.063W 0402 THICK FILM","1","1.6 (Design)"
"R6","1655696-2","RES 49.9K +1/-1% 0.063W 0402 THICK FILM","1","1.12 (Design)"
"R5","408518397","RESISTOR 5.62K +1/-1% 0.063W T   BMP","1","1.11 (Design)"
"R4","1900178-1","RESISTOR, CHIP, THICK FILM, 0402 CASE   BMP","1","1.10 (Design)"
"R323","408494938","RESISTOR 10K +1/-1% 0.063W THI   BMP","1","1.34 (Design)"
"R308","408517811","RESISTOR 22.1K +1/-1% 0.063W T","1","1.8 (Design)"
"R304","1900178-1","RESISTOR, CHIP, THICK FILM, 0402 CASE   BMP","1","1.10 (Design)"
"R303","408518132","RESISTOR 10 +1/-1% 0.063W THIC   BMP","1","1.30 (Design)"
"R302","408518132","RESISTOR 10 +1/-1% 0.063W THIC   BMP","1","1.30 (Design)"
"R301","4600096962P","RES 0.005 +/-1% 1W 1206 METAL STRIP -65C","1","2.3 (Design)"
"R3","408518132","RESISTOR 10 +1/-1% 0.063W THIC   BMP","1","1.30 (Design)"
"R22","408494979","RESISTOR 100K +1/-1% 0.063W TH   BMP","1","1.16 (Design)"
"R21","6-1655696-0","RES 3.48K +1/-1% 0.063W 0402 THICK FILM","1","1.9 (Design)"
"R20","408517811","RESISTOR 22.1K +1/-1% 0.063W T","1","1.8 (Design)"
"R2","408518132","RESISTOR 10 +1/-1% 0.063W THIC   BMP","1","1.30 (Design)"
"R17","3-1655696-6","RES 25.5K +1/-1% 0.063W 0402 THICK FILM","1","1.9 (Design)"
"R16","408518397","RESISTOR 5.62K +1/-1% 0.063W T   BMP","1","1.11 (Design)"
"R15","408494979","RESISTOR 100K +1/-1% 0.063W TH   BMP","1","1.16 (Design)"
"R14","1-1655696-7","RES 51.1K +1/-1% 0.063W 0402 THICK FILM","1","1.21 (Design)"
"R13","408494979","RESISTOR 100K +1/-1% 0.063W TH   BMP","1","1.16 (Design)"
"R12","408516532","RESISTOR 49.9 +1/-1% 0.063W TH","1","1.10 (Design)"
"R11","408496388","RESISTOR 30.1K +1/-1% 0.063W T","1","1.14 (Design)"
"R10","408494938","RESISTOR 10K +1/-1% 0.063W THI   BMP","1","1.34 (Design)"
"R1","4600096962P","RES 0.005 +/-1% 1W 1206 METAL STRIP -65C","1","2.3 (Design)"
"Q5","1900161-1","IC,DIGITAL TRANSISTOR,W/RESISTOR NETWORK   BMP","1","1.17 (Design)"
